GEOID10,P0010001,District
481872103002016,47,3
481872103003022,61,4
481872108013008,0,1
481872103002031,84,3
481872108041023,0,4
481872108041029,0,4
481872108041032,0,4
481872108031011,0,4
481872108031000,0,4
481872109011182,0,7
481872105041045,0,8
481872105041043,0,8
481872105041039,44,8
481872105042044,0,7
481872109021020,37,5
481872105041060,0,4
481872108012016,52,1
481872102001005,0,8
481872105041050,4,8
481872102001010,81,2
481872109022014,0,7
481872101001000,0,7
481872101004054,57,5
481872101004005,31,6
481872101004047,19,5
481872103005014,0,2
481872105041068,24,8
481872102002033,22,8
481872102002014,12,3
481872103002008,34,3
481872102002034,0,8
481872108013009,25,1
481872108013015,28,1
481872102001008,65,2
481872101001017,56,2
481872101002028,36,6
481872102004016,2,2
481872102004002,9,2
481872103005030,9,2
481872103005053,0,2
481872103004008,0,2
481872103005050,0,2
481872102003036,15,2
481872101004009,19,6
481872101004010,28,6
481872101004051,22,5
481872101004035,12,6
481872101004013,7,6
481872101004042,7,6
481872101004053,24,5
481872103005022,13,2
481872103005024,5,5
481872103004006,0,2
481872103005005,41,5
481872101001014,83,7
481872101001019,67,7
481872101004004,26,6
481872101004016,28,6
481872108031020,91,4
481872105062050,47,7
481872103002037,0,3
481872103003016,19,4
481872103001001,14,3
481872102004009,24,3
481872102003023,38,2
481872102004028,39,3
481872102004027,60,3
481872102004012,25,3
481872103002028,39,2
481872103002006,26,2
481872103002022,21,3
481872103002021,27,3
481872109021048,0,1
481872108011001,2,4
481872102001018,33,3
481872102001015,38,2
481872102001029,40,2
481872101001016,74,2
481872102002023,0,2
481872101001021,113,7
481872101002031,38,2
481872102003033,0,2
481872101003008,3,6
481872101003007,3,6
481872101003014,19,6
481872101003006,0,6
481872102004017,52,2
481872102004019,0,2
481872103005013,35,2
481872102004031,21,2
481872108041022,62,4
481872101003003,15,6
481872104003015,0,6
481872104003016,0,6
481872108011025,0,4
481872105042058,31,7
481872108011034,0,4
481872108012003,0,2
481872108013003,0,2
481872105042061,0,7
481872109022030,2,7
481872101004039,14,6
481872104002020,24,5
481872104002008,14,5
481872104003027,20,6
481872104003021,0,6
481872103002007,37,2
481872103004042,50,2
481872103003027,0,2
481872103004040,42,2
481872108012026,13,1
481872105042028,23,7
481872108011078,33,1
481872105042002,17,7
481872108011079,15,1
481872108012021,22,1
481872104003001,19,6
481872109011180,0,7
481872108013001,0,4
